Sample	Coalescent Time	First Ascertained	First Unascertained
4674	11.755191	8.764015	4.696090
3287	2.166767	10.109040	5.282645
2973	0.000000	13.600630	3.707305
3988	6.240828	10.323295	7.589080
2352	0.000000	9.903545	4.886255
3684	2.711410	10.877365	3.771545
3523	26.252677	31.703900	16.894025
4808	0.771246	1.200120	4.292400
1695	11.385517	24.600270	4.617615
4934	3.533478	24.717800	14.310555
2373	38.937996	11.647880	6.957265
3493	16.526809	8.224545	3.633575
0621	18.088654	28.617460	16.803505
2714	14.144855	23.245755	2.180145
1795	8.350788	23.906405	4.135450
4791	4.545928	6.805425	2.605370
0799	6.824399	13.086710	5.319510
2651	1.352879	4.034345	4.951225
4186	7.250501	14.138640	4.114280
1125	28.257601	28.316700	20.715940
3289	1.209142	18.610255	4.731860
0028	16.500000	22.037240	9.630890
2991	5.597684	4.286195	9.310055
0559	14.535706	2.565950	12.679735
0900	7.000000	13.228330	6.538245
0093	0.000000	3.331720	6.606500
3443	13.271572	21.950005	8.250460
4586	19.800986	13.606105	7.832535
2114	11.565277	32.839780	15.337665
4007	1.251695	18.190870	5.457845
0777	47.447790	20.746965	3.842355
0423	0.000000	4.707770	3.944555
1447	24.758883	18.552220	11.610285
4688	12.286367	10.047720	2.275775
2978	22.935243	30.476040	5.170225
4643	12.497514	10.738300	3.094105
0572	6.766351	8.669115	7.950430
4594	1.693381	13.427255	4.238380
2470	5.500000	13.841530	7.142685
0971	3.487629	11.732560	6.050240
2467	17.468754	17.833170	11.160240
2223	4.751365	10.159045	5.026780
2531	10.292448	21.396300	2.783125
4466	11.983092	18.682525	8.173810
0627	4.871681	11.759570	8.574945
1412	13.500000	21.359435	4.325615
4049	10.975995	16.397990	4.886255
1366	0.000000	9.219170	4.950495
2989	16.733326	18.031365	3.965360
4468	8.279649	13.949205	7.151080
0955	34.118206	36.313485	0.914325
3277	9.218321	1.555265	8.817305
1699	1.805628	13.944460	3.791985
3669	2.294815	11.086510	0.816140
4036	7.825736	17.301730	6.419255
0199	1.956331	17.014475	6.556495
1278	1.139527	8.955275	4.851215
1304	5.898651	10.357240	13.983515
2086	9.038884	5.453830	7.568275
0219	2.606373	18.678145	5.463320
2686	21.683868	25.083165	6.711620
3226	7.469059	10.179850	6.411225
1852	5.739392	10.841960	3.118925
4292	2.627167	15.417235	3.074760
2615	7.783699	14.352895	7.686900
0612	1.082819	6.317785	3.380265
3661	18.651425	27.963015	5.886720
3436	0.000000	5.316955	4.343865
2711	38.791368	20.688565	7.619740
0527	1.097021	14.971570	9.538910
1638	61.556974	23.622435	5.541795
4382	0.701215	5.931615	2.765240
1847	12.160625	6.952155	9.014040
1817	20.173570	13.557195	5.127155
0656	16.694299	8.632980	10.833565
0493	33.799070	10.659460	4.220860
4416	17.000000	17.026520	8.278200
3068	23.871584	39.727695	8.458875
2255	15.255184	10.865320	6.481305
1451	12.902958	18.456955	8.025255
3849	6.339818	11.308065	2.923285
1208	38.674376	38.431215	3.069285
4138	14.685538	4.713610	4.953780
0709	16.642769	10.776625	3.745265
0580	25.736025	24.219940	14.075130
0581	7.779811	14.075130	18.679605
2836	28.500000	38.725040	9.776525
1900	9.500000	17.299905	6.001330
4733	21.798215	22.159880	8.294990
2073	8.000000	13.137080	4.892825
1246	0.000000	3.199955	5.959355
3823	4.786886	11.406615	8.164320
4263	26.705497	26.857065	18.932550
1704	3.809651	6.802870	7.379205
0368	28.878987	17.508320	5.933805
0901	3.587982	11.935500	3.651460
0881	22.130973	2.717425	5.787440
3244	0.000000	9.422110	2.361550
1360	8.689236	13.954315	4.612870
3643	6.998824	17.959825	4.980790
1920	7.409493	4.165380	12.670245
4161	5.604189	12.440660	1.657100
1714	7.013471	16.495810	8.081830
0070	12.831122	29.396005	1.249760
2002	8.930302	28.606510	1.810400
3784	14.760629	18.249635	6.759070
0460	19.094491	29.462070	6.070315
2422	22.952780	30.497940	0.376680
0283	2.223652	11.045265	5.554935
1747	22.594004	26.752675	9.120620
1227	10.935409	5.412585	12.562570
2507	25.107263	26.699750	13.559750
0113	1.500702	7.858450	2.632745
0834	2.659106	12.553445	3.686135
1759	2.506580	11.632915	4.207720
0441	0.000000	7.314235	3.012345
2967	16.709789	14.304715	3.938715
0030	6.895280	11.772345	6.361950
0635	3.434604	10.742680	6.087470
0556	6.502721	10.324390	2.441850
1965	11.263142	22.383625	7.031725
3964	5.396121	9.216615	12.712950
4335	7.344262	13.612675	2.138535
1954	18.240235	24.232715	11.200025
3155	9.805165	13.311915	6.690815
2350	1.430522	14.913900	10.045165
4503	8.995963	4.669080	2.368850
1637	0.325881	11.156955	8.715105
4154	11.507526	21.829920	12.290280
2459	2.357064	19.324195	9.343270
0890	6.000000	18.572660	4.635865
1556	10.014679	23.130050	15.218310
2186	12.417026	20.684550	12.374960
1761	7.111691	7.470820	2.499520
3266	9.818230	4.580385	8.300830
3035	4.000000	19.377485	1.682285
2462	4.021406	11.972730	1.013240
1195	20.385551	20.490735	12.460735
2811	8.504401	2.902115	4.492055
0366	4.156449	13.738235	3.953680
1791	1.736470	10.577335	9.075360
3700	35.356716	43.384265	4.685505
3884	24.609922	33.317565	3.997845
1981	18.654519	11.991710	4.575275
1361	7.782712	13.001300	4.612870
2410	0.000000	11.215355	5.885990
4746	46.057607	42.299120	2.088530
4304	11.955255	15.373070	3.079870
4329	6.268083	5.058535	0.665030
2246	15.184719	23.276415	10.758010
4641	11.048750	16.119495	10.495940
4962	32.803319	7.617550	5.998045
4642	27.614254	4.222320	10.872985
0480	7.000000	7.360955	5.749115
3816	4.395175	23.874650	11.777090
4094	8.967694	13.953585	5.764445
3637	11.160299	4.020110	9.694035
4744	21.070303	25.716440	4.603380
3260	2.215554	10.547040	4.394965
2293	5.911617	6.518535	12.773175
2434	47.269527	3.784320	16.743280
3549	5.792154	14.397790	8.164685
